,headline,sensation,gpt4all-falcon-q4_0.gguf,gpt4all-13b-snoozy-q4_0.gguf,nous-hermes-llama2-13b.Q4_0.gguf,orca-2-13b.Q4_0.gguf,wizardlm-13b-v1.2.Q4_0.gguf
95,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 ",positive,The sentiment of this news is positive.,Positive, The sentiment of this news is positive.,Positive,Positive
1313,"Nordstjernan will make the offer in approximately one month , in September 2007 ",neutral,The sentiment of this news is positive.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"" or ""hopeful"". Possible responses for a neutral sentiment could be ""uncertainty"", ""caution"" or ""wait and see attitude"". Possible responses for a negative sentiment could be ""pessimism"", ""distrust"" or ""skepticism""."," The sentiment of this news appears to be positive, as it indicates that an offer is forthcoming within a month's time.",Neutral,"The sentiment of this news is neutral, as it simply reports on a future event without expressing any emotion or opinion about it."
941,"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 ",neutral,The sentiment of this news is positive.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""promising"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""discouraging"", ""pessimistic"", or ""negative"".", The sentiment of this news is neutral.,Neutral,The sentiment of this news is neutral.
2200,"In the Baltic countries , sales fell by 42.6 % ",negative,The sentiment of this news is negative.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""promising"". Possible responses for a neutral sentiment could be ""steady"" or ""unchanged"". Possible responses for a negative sentiment could be ""discouraging"", ""alarming"", or ""concerning""."," The sentiment of this news can be considered as ""negative"".",Negative,"The sentiment of this news is ""negative""."
1731,The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa ,neutral,The sentiment of this news is positive.,Positive, The sentiment is neutral.,Neutral,Positive
481,Uponor improved its performance in spite of the decrease in residential construction in the US ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
1375,"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report ",neutral,The sentiment of the news is neutral.,Positive,The sentiment appears to be neutral.,Neutral,"The sentiment of this news is neutral, as it simply provides information about the contents of an annual report without expressing any emotion or opinion."
834,"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier ",positive,The sentiment of this news is positive.,Positive, The sentiment of this news appears to be positive as the net interest income has increased compared to the previous year.,Positive,Positive
2098,Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards ,neutral,The sentiment of the news is positive.,Positive," The sentiment of this news cannot be determined as it does not contain any emotional content or context that would indicate a positive, negative or neutral sentiment.",Neutral,Neutral
796,"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 ",positive,Negative.,Positive, The sentiment of this news is positive.,Positive,Positive
1057,The company website is www.ahlstrom.com ,neutral,The sentiment of the news is neutral.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""exciting"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""disappointed"", ""dissatisfied"", or ""critical"".", neutral,Neutral,Neutral
426,"Department store sales improved by 14 % to EUR 1,070.6 mn ",positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
550,"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 ",neutral,Negative,Positive, The sentiment of this news is neutral.,Neutral,"The sentiment of this news is neutral, as it simply provides information about a shareholder and contact details for further inquiries without expressing any emotion or opinion."
1454,The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood ,neutral,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1147,"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year ",neutral,Negative,"Possible responses to the question ""What is the sentiment of this news?"" include: 
- Negative (e.g., ""disappointed,"" ""concerned"") 
- Neutral (""unaffected,"" ""indifferent"") 
- Positive (""optimistic,"" ""encouraged"").", The sentiment is neutral.,Neutral,The sentiment is neutral.
1686,No financial or pricing details were disclosed ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", ""promising"". Possible responses for a neutral sentiment could be ""uncertain"", ""ambiguous"", ""mixed"". Possible responses for a negative sentiment could be ""disappointed"", ""frustrated"", ""unhappy"".", neutral,Neutral,Neutral
1610,"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people ",neutral,The sentiment of this news is positive.,Positive, Positive,Neutral,Positive
1821,"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium ",neutral,The sentiment of this news is positive.,Positive,The sentiment of this news appears to be neutral.,Neutral,The sentiment of this news seems neutral as it simply reports on an action (the delivery of tanks) without expressing any emotion or opinion about the event itself.
654,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process ,neutral,The sentiment of this news is positive.,Positive,Positive,Neutral,Positive
2239,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations ",negative,The sentiment of this news is negative.,"Possible responses could be ""negative"", ""neutral"" or ""positive"".",The sentiment of this news is neutral.,Negative,"The sentiment of this news is ""negative""."
2026,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago ",negative,Negative,"Possible responses to this question could be ""negative,"" ""neutral,"" or ""positive.""", The sentiment of this news is neutral.,Negative,Neutral
1939,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme ",neutral,The sentiment of this news is positive.,Positive,The sentiment of this news cannot be determined as it is a factual statement and does not convey any emotional tone.,Neutral,"The sentiment of this news about issuing 1,800,000 stock options is neutral as it does not express any positive or negative emotion towards the event itself."
1392,The company distributes Hiab 's products as well as other products ,neutral,The sentiment of the news is neutral.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""exciting"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""disappointed"", ""dissatisfied"", or ""critical"".", Positive,Neutral,Positive
2167,"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 ",negative,Negative.,Positive," The sentiment of this news can be considered as ""negative"" since the pretax profit has decreased compared to the previous year.",Negative,"The sentiment of this news is ""negative""."
1356,"So far as is known , he did not sell shares that he owns personally ",neutral,"Based on the given text, it appears that the sentiment of the news is neutral.","Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""hopeful"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""pessimistic"", ""discouraging"", or ""dismayed"".",The sentiment of this news appears to be neutral.,Neutral,Neutral
207,Total operating revenue grew by 27.6 % year-on-year to EUR61m ,positive,Negative.,Positive, Positive,Positive,Positive
412,`` The combined activities will create value for shareholders and be good for our employees and customers ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
1960,The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""promising"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""discouraged"", ""pessimistic"", or ""dismayed"".","The sentiment of this news cannot be determined as it does not contain any emotional content or context that would indicate a positive, negative or neutral sentiment.",Neutral,Neutral
1428,The employee negotiations are to address measures needed to adjust the operations to the present production situation ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""optimistic,"" ""hopeful,"" or ""encouraging."" Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial."" Possible responses for a negative sentiment could be ""pessimistic,"" ""discouraged,"" or ""dissatisfied.""",The sentiment of this news appears to be neutral.,Neutral,"The sentiment of this news seems neutral, as it simply reports on a discussion about necessary changes in response to current circumstances without expressing any strong emotions or opinions."
1277,"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders ",neutral,The sentiment of this news is neutral.,Positive,Positive,Neutral,Neutral
1842,"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries ",neutral,The sentiment of the news is positive.,Positive,Positive,Neutral,Positive
1542,"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays ",neutral,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1301,"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 ",neutral,The sentiment of this news is positive.,Positive, The sentiment of this news appears to be positive as it reports a financial gain for N +1 Group.,Neutral,Positive
1979,"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day ",neutral,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1020,Saunalahti is a part of the Elisa group ,neutral,The sentiment of this news is positive.,"Possible responses for ""Saunalahti is a part of the Elisa group"" could be positive, neutral or negative depending on how you interpret it.", Positive,Neutral,Positive
406,Performance in the second half of 2009 exceeded expectations ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
1411,"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week ",neutral,Negative.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""exciting"". Possible responses for a neutral sentiment could be ""uncertain"" or ""cautious"". Possible responses for a negative sentiment could be ""disappointed"", ""frustrated"", or ""concerned"".",Positive,Neutral,"The sentiment of this news seems to be neutral, as it does not express any strong positive or negative emotions. It simply states that more information will be disclosed in a specific time frame without providing any indication about the potential outcomes or implications of the event."
318,"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share ",positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1713,"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people ",neutral,The sentiment of this news is positive.,Positive, The sentiment of this news is neutral.,Neutral,Positive
1144,A merger between UPM and Finnish-Swedish Stora Enso is not likely either ,neutral,Negative.,"Possible responses for a positive sentiment could be ""exciting,"" ""promising,"" or ""optimistic."" Possible responses for a neutral sentiment could include ""uncertain"" or ""wait-and-see."" Possible responses for a negative sentiment could include ""disappointing,"" ""unfortunate,"" or ""regrettable.""", Neutral,Neutral,Neutral
552,Construction is expected to be completed in the summer of 2011 ,neutral,The sentiment of the news is positive.,Positive,Positive,Neutral,Positive
445,The acquisition will have an immediate positive impact on Aspocomp 's financial result ,positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
957,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. ,neutral,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
1815,The report contains category level company and brand share as well as distribution share information for 2007 and 2008 ,neutral,The sentiment of the news is positive.,Positive, Positive,Neutral,Positive
1721,The agreement includes application maintenance and support services ,neutral,The sentiment of the news is positive.,Positive,Positive,Neutral,Neutral
700,The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line ,neutral,The sentiment of this news is positive.,Positive,Positive,Neutral,The sentiment of this news seems to be neutral as it focuses on a specific task (getting the supercalendered line running) without any indication of strong positive or negative emotions.
1808,The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 ,neutral,The sentiment of this news is neutral.,"Possible responses for a human to answer ""The per-share subscription price of the shares subscribed with the option rights was EUR 1.35"" are:

* Negative (e.g., ""Low"", ""Disappointing"")
* Neutral (e.g., ""Average"", ""Unremarkable"")
* Positive (e.g., ""Good"", ""Encouraging"")", Positive,Neutral,"The sentiment of this news is neutral, as it simply reports a specific financial detail without expressing any emotion or opinion about it."
662,"In Penttil+?'s vision , the most important reason for the transaction is Russia ",neutral,The sentiment of the news is neutral.,"Possible responses to ""In Penttil+'s vision, the most important reason for the transaction is Russia?"" could include:

* Negative (e.g., ""concerned,"" ""alarmed"")
* Neutral (e.g., ""unaffected,"" ""indifferent"")
* Positive (e.g., ""optimistic,"" ""hopeful"")", neutral,Neutral,The sentiment of this news seems to be neutral as it does not express any strong positive or negative emotions towards the topic discussed in the sentence.
533,"According to Finnair Technical Services , the measure is above all due to the employment situation ",neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""hopeful"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""pessimistic"", ""discouraged"", or ""dismayed"".",The sentiment of this news appears to be neutral.,Neutral,The sentiment of this news seems neutral as it reports on a decision made by Finnair Technical Services without expressing any strong positive or negative emotions towards it.
1463,"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia ",neutral,The sentiment of this news is positive.,"Possible responses for this question could be ""negative,"" ""neutral,"" or ""positive.""", The sentiment of this news is neutral.,Neutral,"The sentiment of this news is neutral, as it simply provides factual information about a business segment's size and location without expressing any emotion or opinion."
1882,"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier ",negative,Negative,"Possible responses for the sentiment analysis are ""negative"", ""neutral"" or ""positive"".", The sentiment is negative.,Negative,Neutral
1843,"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems ",neutral,The sentiment of the news is positive.,Positive,The sentiment of this news appears to be neutral.,Neutral,Positive
867,Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier ,positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
488,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention ,neutral,The sentiment of this news is neutral.,Positive, The sentiment of this news appears to be neutral.,Neutral,Neutral
1605,BM4 middle layer headbox will be equipped with a dilution control system ,neutral,The sentiment of the news is positive.,Positive,Positive,Neutral,Positive
1844,There have not been previous share subscriptions with 2004 stock options ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""exciting"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""disappointed"", ""dissatisfied"", or ""frustrated"".", neutral,Neutral,"The sentiment of this news is neutral, as it simply states that there haven't been any previous share subscriptions with 2004 stock options without providing any additional context or emotion."
261,The value of the firm 's forestry holdings increased by SEK 3.6 bn ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
1491,The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""exciting,"" ""promising,"" or ""optimistic."" Possible responses for a neutral sentiment could include ""cautious"" or ""uncertain."" Possible responses for a negative sentiment could include ""disappointing,"" ""unfortunate,"" or ""regretful.""",The sentiment of this news appears to be neutral.,Neutral,Positive
464,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
2255,"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % ",negative,Negative.,"Possible responses for a human to answer are ""negative"", ""neutral"" or ""positive"".","The sentiment of this news can be considered as neutral, since it simply reports a decrease in sales without providing any additional context or emotion.",Negative,Neutral
1180,"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite ",neutral,The sentiment of the news is positive.,Positive, Positive,Positive,Positive
2079,The products have a low salt and fat content ,neutral,The sentiment of the news is positive.,Positive, Positive,Positive,Positive
2082,"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation ",negative,The sentiment of this news is negative.,Positive,The sentiment is neutral.,Negative,Negative
830,"Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker ",positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1898,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ",negative,Negative,Positive, The sentiment is neutral.,Negative,"The sentiment is neutral because it's a financial report that shows an increase, but not necessarily positive or negative."
298,"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year ",positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
2016,"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 ",negative,The sentiment of this news is negative.,"Possible responses are ""negative"", ""neutral"" or ""positive"".", The sentiment is negative as there has been a decrease in earnings per share compared to the previous year.,Negative,The sentiment is neutral.
69,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year ",positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1253,"In addition , the contract includes modification of the effluent treatment plant at Follum ",neutral,The sentiment of the news is neutral.,"Possible responses for a positive sentiment could be ""excited"", ""optimistic"", or ""enthusiastic"". Possible responses for a neutral sentiment could be ""indifferent"" or ""unbiased"". Possible responses for a negative sentiment could be ""disappointed"", ""dissatisfied"", or ""upset"".", The sentiment of this news appears to be neutral as there are no indicators of positive or negative emotion in the text.,Neutral,The sentiment of this news seems to be neutral as it simply reports on a specific aspect (modification of an effluent treatment plant) without expressing any emotion or opinion about the event itself.
73,The Department Store Division reported an increase in sales of 4 per cent ,positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1559,Union and company officials did not return calls yesterday ,neutral,The sentiment of this news is neutral.,The sentiment of that news cannot be determined without additional context or information about what was being discussed in relation to union and company officials.,"The sentiment of this news cannot be determined as it does not contain any emotional content or context that would indicate a positive, negative or neutral tone.",Neutral,Neutral
1262,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland ,neutral,The sentiment of this news is positive.,Positive," The sentiment of this news cannot be determined as it does not contain any emotional content or context that would indicate positive, negative or neutral sentiment.",Neutral,Positive
2252,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur ",negative,The sentiment of this news is neutral.,Positive, The sentiment is neutral.,Neutral,Neutral
1025,"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena ",neutral,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1097,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine ",neutral,The sentiment of this news is positive.,Positive,Positive,Neutral,Positive
1619,"Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes ",neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""exciting,"" ""promising,"" or ""encouraging."" Possible responses for a neutral sentiment could include ""interesting"" or ""intriguing."" Possible responses for a negative sentiment could include ""disappointing,"" ""unfortunate,"" or ""regrettable.""", The sentiment of this news appears to be neutral.,Neutral,"The sentiment of this news seems to be neutral, as it simply reports on the current equipment used by a company without expressing any emotion or opinion about it."
854,This will bring cost savings of about EUR 3mn a year ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
1497,"The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI ",neutral,The sentiment of the news is positive.,Positive, The sentiment of this news is positive.,Neutral,Positive
787,"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year ",neutral,The sentiment of this news is positive.,Positive, The sentiment of this news appears to be neutral.,Neutral,"The sentiment of this news seems to be neutral as it simply reports on a change in production before and after the installation of Kemira's system, without expressing any strong positive or negative emotions towards either situation."
241,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board ,positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1932,Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board ,neutral,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1222,Financial terms were not disclosed ,neutral,The sentiment of the news is neutral.,"Possible responses for a positive sentiment could be ""optimistic,"" ""encouraging,"" or ""promising."" Possible responses for a neutral sentiment could be ""uncertain"" or ""ambiguous."" Possible responses for a negative sentiment could be ""disappointed,"" ""frustrated,"" or ""unhappy.""", Neutral,Neutral,Neutral
930,All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 ,neutral,The sentiment of this news is positive.,Positive, The sentiment of this news is neutral.,Neutral,Positive
750,"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened ",positive,Positive.,Positive,Positive,Positive,Positive
1959,Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 ,neutral,The sentiment of this news is positive.,Positive,Positive,Neutral,Positive
1999,Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations ,neutral,The sentiment of the news is positive.,"Possible responses for a positive sentiment could be ""exciting,"" ""promising,"" or ""encouraging."" Possible responses for a neutral sentiment could be ""interesting"" or ""intriguing."" Possible responses for a negative sentiment could be ""disappointing,"" ""unfortunate,"" or ""regrettable.""", Positive,Positive,Positive
2128,Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 ,negative,Negative.,"Possible responses for the sentiment of this news could be ""negative"", ""neutral"" or ""positive"".", The sentiment of this news is negative.,Negative,"The sentiment of this news is ""negative""."
2047,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % ",negative,Negative.,Positive, The sentiment of this news can be considered as neutral.,Neutral,Neutral
1885,"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 ",negative,Negative,"Possible responses for this question could be ""negative,"" ""neutral,"" or ""positive.""", The sentiment is negative.,Negative,"The sentiment is ""negative""."
2081,"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports ",negative,Negative,Positive,The sentiment of this news is neutral.,Neutral,"The sentiment of this news is neutral, as it simply states that the shares were ""little changed"" without any indication of positive or negative emotions associated with the event."
1537,The value of the total investment is about EUR 600mn ,neutral,The sentiment of the news is neutral.,"Possible responses for a positive sentiment could be ""exciting"", ""promising"", or ""encouraging"". Possible responses for a neutral sentiment could be ""unremarkable"" or ""average"". Possible responses for a negative sentiment could be ""disappointing"", ""frustrating"", or ""depressing"".", Positive,Neutral,"The sentiment of this news ""The value of the total investment is about EUR 600mn"" seems to be neutral as it simply provides factual information without expressing any emotion or opinion."
549,Competition authorities will have to approve the deal before it can be finalized ,neutral,The sentiment of this news is neutral.,Positive,Neutral,Neutral,Neutral
1468,The new name of the Sanoma Division will be Sanoma News ,neutral,The sentiment of the news is positive.,"Possible responses for a positive sentiment could include ""exciting,"" ""optimistic,"" or ""promising."" Possible responses for a neutral sentiment could include ""uncertain"" or ""wait-and-see."" Possible responses for a negative sentiment could include ""disappointing,"" ""unfortunate,"" or ""regrettable.""", neutral,Neutral,Neutral
1532,The value of the order is USD 2.3 mn ,neutral,The sentiment of the news is neutral.,"Possible responses for a positive sentiment could be ""exciting"", ""promising"", or ""encouraging"". Possible responses for a neutral sentiment could be ""unremarkable"" or ""average"". Possible responses for a negative sentiment could be ""disappointing"", ""dismayed"", or ""concerned"".", Positive,Positive,Positive
239,"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 ",positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
407,Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year ,positive,"Based on the given text, the sentiment of the news is positive.",Positive, Positive,Positive,Positive
1365,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights ",neutral,The sentiment of this news is positive.,Positive, The sentiment of this news cannot be determined as it does not contain any emotional or subjective content.,Neutral,"The sentiment of this news about Tieto Corporation's change in holding by OP-Pohjola Group Central Cooperative (OPK) is neutral, as it simply reports on a change in ownership without expressing any emotion or opinion."
978,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time ",neutral,The sentiment of the news is positive.,Positive,The sentiment of this news appears to be neutral.,Neutral,The sentiment of this news seems to be neutral as it simply announces an event without expressing any strong positive or negative emotions.
626,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. ",neutral,The sentiment of the news is positive.,Positive,"The sentiment of this news appears to be positive based on the inclusion of many key players in the industry, suggesting that there is a thriving market for these companies.",Neutral,Neutral
